qualtrics_name,qualtrics_description,nice_var_names
Q26_19,Indicate how characteristic or true each of the following statements is of you. - I hate being tickled,STQ_19
Q26_20,Indicate how characteristic or true each of the following statements is of you. - I like petting animals,STQ_20
Q29_1,You are about to fill in a series of statements. Read the statements carefully and answer to what degree you agree with the statement. - I am often confused about what emotion I am feeling.,TAS_1
Q29_2,You are about to fill in a series of statements. Read the statements carefully and answer to what degree you agree with the statement. - It is difficult for me to find the right words for my feelings.,TAS_2
Q29_3,You are about to fill in a series of statements. Read the statements carefully and answer to what degree you agree with the statement. - I have physical sensations that even doctors don’t understand.,TAS_3
Q29_4,You are about to fill in a series of statements. Read the statements carefully and answer to what degree you agree with the statement. - I am able to describe my feelings easily.,TAS_4
Q29_5,You are about to fill in a series of statements. Read the statements carefully and answer to what degree you agree with the statement. - I prefer to analyze problems rather than just describe them.,TAS_5
Q29_6,"You are about to fill in a series of statements. Read the statements carefully and answer to what degree you agree with the statement. - When I am upset, I don’t know if I am sad, frightened, or angry.",TAS_6
Q29_7,You are about to fill in a series of statements. Read the statements carefully and answer to what degree you agree with the statement. - I am often puzzled by sensations in my body.,TAS_7
Q29_8,You are about to fill in a series of statements. Read the statements carefully and answer to what degree you agree with the statement. - I prefer to just let things happen rather than to understand why they turned out that way.,TAS_8
Q29_9,You are about to fill in a series of statements. Read the statements carefully and answer to what degree you agree with the statement. - I have feelings that I can’t quite identify.,TAS_9
Q29_10,You are about to fill in a series of statements. Read the statements carefully and answer to what degree you agree with the statement. - Being in touch with emotions is essential.,TAS_10
Q29_11,You are about to fill in a series of statements. Read the statements carefully and answer to what degree you agree with the statement. - I find it hard to describe how I feel about people.,TAS_11
Q29_12,You are about to fill in a series of statements. Read the statements carefully and answer to what degree you agree with the statement. - People tell me to describe my feelings more.,TAS_12
Q29_13,You are about to fill in a series of statements. Read the statements carefully and answer to what degree you agree with the statement. - I don’t know what’s going on inside me.,TAS_13
Q29_14,You are about to fill in a series of statements. Read the statements carefully and answer to what degree you agree with the statement. - I often don’t know why I am angry.,TAS_14
Q29_15,You are about to fill in a series of statements. Read the statements carefully and answer to what degree you agree with the statement. - I prefer talking to people about their daily activities rather than their feelings.,TAS_15
Q29_16,You are about to fill in a series of statements. Read the statements carefully and answer to what degree you agree with the statement. - I prefer to watch “light” entertainment shows rather than psychological dramas.,TAS_16
Q29_17,"You are about to fill in a series of statements. Read the statements carefully and answer to what degree you agree with the statement. - It is difficult for me to reveal my innermost feelings, even to close friends.",TAS_17
Q29_18,"You are about to fill in a series of statements. Read the statements carefully and answer to what degree you agree with the statement. - I can feel close to someone, even in moments of silence.",TAS_18
Q29_19,You are about to fill in a series of statements. Read the statements carefully and answer to what degree you agree with the statement. - I find examination of my feelings useful in solving personal problems.,TAS_19
Q29_20,You are about to fill in a series of statements. Read the statements carefully and answer to what degree you agree with the statement. - Looking for hidden meanings in movies or plays distracts from their enjoyment.,TAS_20
FL_44_DO,FL_44 - Block Randomizer - Display Order,Pleasantness DO
FL_19_DO,FL_19 - Block Randomizer - Display Order,Communication Condition ASD
FL_32_DO,FL_32 - Block Randomizer - Display Order,CommunicationFC DO ASD
FL_31_DO,FL_31 - Block Randomizer - Display Order,CommunicationFT DO ASD
FL_20_DO,FL_20 - Block Randomizer - Display Order,Communication Condition Control
FL_37_DO,FL_37 - Block Randomizer - Display Order,CommunicationFC DO Control
FL_41_DO,FL_41 - Block Randomizer - Display Order,CommunicationFT DO Control
Age Group,NA,Age Group
Age Cohort,NA,Age Cohort
